suburb,LAT,LON
Cheltenham,-33.75721,151.0782
Horsley Park,-33.8426,150.84816
Cammeray,-33.82277,151.21527
Plumpton,-33.75211,150.83639
Forest Lodge,-33.88032,151.18079
Roseville,-33.78256,151.18105
Bligh Park,-33.63844,150.80041
Terrigal,-33.44581,151.42873
Watanobbi,-33.26813,151.42636
Grays Point,-34.05591,151.08069
Linley Point,-33.82689,151.14887
McGraths Hill,-33.61305,150.84178
Canada Bay,-33.86462,151.11506
Erskineville,-33.90226,151.18621
Cromer,-33.73041,151.26832
Riverview,-33.82437,151.16033
Eastgardens,-33.94502,151.22653
Rose Bay,-33.87416,151.26568
Sandringham,-33.99813,151.14125
Summer Hill,-33.89348,151.1372
Cabramatta,-33.89828,150.93609
Lindfield,-33.78063,151.16255
Kyeemagh,-33.9488,151.16043
North Bondi,-33.88599,151.27703
Killcare,-33.52117,151.36366
Ambarvale,-34.089,150.79408
Wadalba,-33.27231,151.46492
Five Dock,-33.86665,151.12685
Belfield,-33.90421,151.08616
Willoughby,-33.80664,151.20155
Artarmon,-33.81194,151.18498
Currans Hill,-34.04634,150.77377
Watsons Bay,-33.83992,151.28174
Epping,-33.77377,151.07681
Smithfield,-33.84836,150.93847
Pemulwuy,-33.82108,150.92398
Kellyville,-33.69583,150.95622
Lake Haven,-33.24468,151.50399
North Curl Curl,-33.76314,151.29088
Colyton,-33.78218,150.79717
Ellis Lane,-34.03421,150.679
Schofields,-33.70583,150.8735
Queenscliff,-33.78265,151.28518
Emu Plains,-33.74635,150.66375
Tuggerawong,-33.28398,151.47386
Norah Head,-33.28409,151.56381
Malabar,-33.96419,151.25386
Edgecliff,-33.87977,151.2361
Glenmore Park,-33.79317,150.68049
Greenwich,-33.83,151.18555
Quakers Hill,-33.72826,150.88995
Kingsford,-33.9259,151.22847
Coogee,-33.91965,151.25639
Forestville,-33.76172,151.21039
Dolls Point,-33.99339,151.14479
Cambridge Park,-33.74975,150.7265
Ryde,-33.8078,151.11399
Mount Colah,-33.66638,151.12988
Ramsgate,-33.98259,151.13977
Dover Heights,-33.87402,151.28116
Cremorne Point,-33.84252,151.22795
Rydalmere,-33.81378,151.03784
Telopea,-33.79475,151.04194
Cabarita,-33.84744,151.11635
Gledswood Hills,-34.0137,150.78383
Bella Vista,-33.74234,150.95464
Turrella,-33.93041,151.14096
Davidson,-33.7395,151.19204
Cronulla,-34.05635,151.15411
Voyager Point,-33.95835,150.97397
Liverpool,-33.92148,150.91654
Duffys Forest,-33.67472,151.1894
Baulkham Hills,-33.74634,150.98287
Bungarribee,-33.77976,150.86393
Denham Court,-33.98157,150.8294
Burraneer,-34.062,151.13762
North Balgowlah,-33.78698,151.25148
Warrawee,-33.72878,151.12144
Bayview,-33.66062,151.28882
Balmain East,-33.85546,151.19357
Dee Why,-33.75117,151.29037
Guildford West,-33.84826,150.96403
Castle Hill,-33.72933,150.99777
Sylvania Waters,-34.01864,151.11234
Bonnet Bay,-34.01049,151.054
Merrylands West,-33.83772,150.96755
Yowie Bay,-34.05003,151.10248
Pleasure Point,-33.97238,150.98179
Oatley,-33.98228,151.07156
Haymarket,-33.88148,151.20456
Chittaway Point,-33.32251,151.44816
Macquarie Links,-33.97953,150.87193
North Manly,-33.77616,151.275
Longueville,-33.82863,151.16811
Ashcroft,-33.91628,150.90096
Bonnyrigg Heights,-33.89103,150.87006
Bilgola Plateau,-33.64514,151.3159
Wakeley,-33.87381,150.90868
Castlecrag,-33.80028,151.22003
Londonderry,-33.654,150.74113
Emu Heights,-33.7327,150.64899
Curl Curl,-33.76971,151.28907
Chifley,-33.97034,151.23962
Bondi Beach,-33.89095,151.27247
Killarney Heights,-33.7725,151.22111
Tamarama,-33.89903,151.27112
Shelly Beach,-33.36992,151.48476
Beaconsfield,-33.91151,151.20017
Waverton,-33.84053,151.1989
Mount Kuring-Gai,-33.64323,151.13915
Chain Valley Bay,-33.16376,151.57299
Carnes Hill,-33.93761,150.84885
Caddens,-33.77096,150.73268
Queens Park,-33.89937,151.24727
Elizabeth Hills,-33.90019,150.84825
Kurnell,-34.02098,151.18685
St Huberts Island,-33.49514,151.34642
Connells Point,-33.98536,151.09431
Yarrawarrah,-34.05435,151.02929
Wheeler Heights,-33.72851,151.28144
Liberty Grove,-33.84081,151.08387
Kirribilli,-33.84748,151.21585
Eveleigh,-33.89576,151.19219
Waverley,-33.90204,151.25603
Huntleys Point,-33.83977,151.14423
Denistone East,-33.79683,151.09667
Peakhurst Heights,-33.97527,151.05493
Scotland Island,-33.64028,151.29094
East Ryde,-33.8103,151.13555
Blacktown,-33.77655,150.90338
Leonay,-33.76836,150.64974
Kurraba Point,-33.84211,151.2228
Newington,-33.83889,151.05551
Old Guildford,-33.86384,150.98472
Denistone,-33.79872,151.08981
Hurstville Grove,-33.97709,151.09318
Woronora,-34.02316,151.04252
Davistown,-33.4847,151.36192
Pagewood,-33.93894,151.2136
